"case_id","domain","traffic_stratum","source_ref","source_trust_tier","model_revision","model_threshold","shadow_would_block","shadow_probability","human_label","label_confidence","evidence_type","reviewer_id","reviewed_at","evidence_refs","review_outcome","review_notes","critical_benign_stratum","deterministic_would_block","second_human_label","second_reviewer_id"
"replay-0018","milton.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.000860145","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T10:31:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0019","muabansimso.com.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.000684791","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T10:38:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0020","phandinh.com.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.000442601","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:18:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0021","phuquocwaterfront.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","false","0.001340381","unknown","low","insufficient evidence","reviewer.vmc","2026-08-19T22:06:00+07:00","evidence/phuquocwaterfront.vn.md","unresolved","Server returns 503 maintenance notice; insufficient live content.","","false","",""
"replay-0022","suckhoe.net.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","false","0.001150493","unknown","low","insufficient evidence","reviewer.vmc","2026-08-19T22:11:00+07:00","evidence/suckhoe.net.vn.md","unresolved","Connection timed out (ERR_TIMED_OUT); server is down; insufficient live content.","","false","",""
"replay-0023","timnhanh.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.001022862","unknown","low","insufficient evidence","reviewer.vmc","2026-08-19T22:13:00+07:00","evidence/timnhanh.vn.md","unresolved","Connection timed out (ERR_TIMED_OUT); server is down; insufficient live content.","","false","",""
"replay-0024","tracuuhoadon.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.002125706","benign","high","live content review","reviewer.vmc","2026-08-19T22:19:00+07:00","evidence/tracuuhoadon.vn.md","true_negative","Legitimate Vietnamese electronic invoice lookup and XML reader service.","","false","",""
"replay-0025","web360do.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.000965907","unknown","low","insufficient evidence","reviewer.vmc","2026-08-19T22:21:00+07:00","evidence/web360do.vn.md","unresolved","Connection timed out (ERR_CONNECTION_TIMED_OUT); server is down; insufficient live content.","","false","",""
"replay-0026","xn--123nhtvitthnhphnamnh-0wbg43ioa9930qmzapd5g.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.00835802","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:19:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain (123nhadatvietthanhphonamdinh.vn) resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0027","xn--bncanoiukhintxativngtu-y2bd91jz6dhy25alza1b87e.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.01486455","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:20:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain (bancanodieukhientuxataivungtau.vn) resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0028","xn--bnmybaychitremqungngi-9zbc9d63eb1i3q6yctarvrl.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.044663524","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:21:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain (banmaybaydochoitreemoquangngai.vn) resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0029","xn--chatrganvirainsoultihnkhoai-2vc2841tu9akolu.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.099252399","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0030","xn--chungcminitinghongcngchthni-jhcj70d01ag9lha7103wqea21fyd.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.01867171","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0031","xn--chuyniukhcqutinhxotihbab-u8b1uc35cmsga3375u0bayykxmr.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.011927909","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0032","xn--datacentersolutions-vi-sc0m.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.01806843","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0033","xn--educationalcourses-vi-ihf.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.030056698","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0034","xn--kimcngenbnhchnh-mjbn7qq0aha531aoj.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.02338481","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0035","xn--mnotmtihidng-bbb3ab6n2yo5fei1504cjba.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.0254041","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0036","xn--rainvitnamtyninh-6mb2688kfna.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.015192122","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0037","xn--thunhtrnghongcuhni-jrbgf8rs8ab3ixz5w61ayjld.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.035274875","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","IDN domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0038","88games.ru","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.232341082","benign","high","live content review","reviewer.vmc","2026-08-19T22:21:00+07:00","evidence/88games.ru.md","true_negative","Live Russian casual gaming subscription portal with PayAnyWay billing.","","false","",""
"replay-0039","alete.de","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.363231784","benign","high","official source","reviewer.vmc","2026-08-19T22:27:00+07:00","evidence/alete.de.md","true_negative","Official German baby food and nutrition brand portal (Alete - DMK Group).","trusted_brand","false","",""
"replay-0040","bund.de","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.324606614","benign","high","official source","reviewer.vmc","2026-08-20T16:24:00+07:00","evidence/bund.de.md","true_negative","Official Federal Portal of Germany (Bundesportal - Bundesrepublik Deutschland).","government_education","false","",""
"replay-0041","chl.sk","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.290542917","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0042","eurosptp.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.495150673","benign","high","live content review","reviewer.vmc","2026-08-20T16:26:00+07:00","evidence/eurosptp.com.md","true_negative","Live French Paid-to-Promote and CPM banner advertising platform.","","false","",""
"replay-0043","ferring.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.665555517","benign","high","official source","reviewer.vmc","2026-08-20T16:27:00+07:00","evidence/ferring.com.md","true_negative","Official global corporate portal of Swiss multinational pharmaceutical company Ferring Pharmaceuticals.","trusted_brand","false","",""
"replay-0044","firmadigital.gob.ec","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.214458554","benign","high","official source","reviewer.vmc","2026-08-20T16:28:00+07:00","evidence/firmadigital.gob.ec.md","true_negative","Official national digital signature portal of the Government of Ecuador (.gob.ec).","government_education","false","",""
"replay-0045","firmenabc.at","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.063412702","benign","high","official source","reviewer.vmc","2026-08-20T16:30:00+07:00","evidence/firmenabc.at.md","true_negative","Official Austrian business directory and company register portal (FirmenABC).","","false","",""
"replay-0046","fisreadinessreport.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.823749726","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T16:44:00+07:00","evidence/fisreadinessreport.com.json","unresolved","Connection timed out (ERR_CONNECTION_TIMED_OUT); server is down; insufficient live content.","","false","",""
"replay-0047","fultonclerk.org","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.141882006","benign","high","official source","reviewer.vmc","2026-08-20T16:33:00+07:00","evidence/fultonclerk.org.md","true_negative","Official judicial government portal of Fulton County Clerk of Courts (Georgia USA).","government_education","false","",""
"replay-0048","funerariauribe.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.063412702","benign","high","verified owner","reviewer.vmc","2026-08-20T16:37:00+07:00","evidence/funerariauribe.com.md","true_negative","Legitimate Spanish funeral services company portal (Grupo Funeraria Uribe).","","false","",""
"replay-0049","globalproseobusinesspromotion.shop","weak_safe","data/safe-zone.db:block_reports/49","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","true","0.943474218","malicious","high","live content review","reviewer.vmc","2026-08-16T21:10:00+07:00","evidence/globalproseobusinesspromotion.shop.md","true_positive","Live page redirects to globalproseo.com promoting illegal gambling/casino spam network.","","false","",""
"replay-0050","heroesofnewerth.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.846999979","unknown","low","insufficient evidence","reviewer.vmc","2026-08-20T16:41:00+07:00","evidence/heroesofnewerth.com.md","unresolved","Domain resolution failed or unreachable; insufficient live content.","","false","",""
"replay-0051","ilogica.ru","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.486682243","benign","high","verified owner","reviewer.vmc","2026-08-20T16:43:00+07:00","evidence/ilogica.ru.md","true_negative","Legitimate Russian telecom and ISP portal (Interlogica Group).","","false","",""
"replay-0052","ip-address.org","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.583447812","benign","high","live content review","reviewer.vmc","2026-08-20T16:44:00+07:00","evidence/ip-address.org.md","true_negative","Live online IP lookup GeoIP locator and WHOIS network utility service.","","false","",""
"replay-0053","kun.uz","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.523328082","unknown","low","insufficient evidence","reviewer.vmc","2026-08-20T16:45:00+07:00","evidence/kun.uz.md","unresolved","Cloudflare Error 502 (Bad Gateway); backend server is down; insufficient live content.","","false","",""
"replay-0054","litetotolubu.com","weak_safe","data/safe-zone.db:block_reports/54","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","true","0.853041152","malicious","high","live content review","reviewer.vmc","2026-08-16T21:28:00+07:00","evidence/litetotolubu.com.md","true_positive","Live page redirects to litetoto.org; an illegal Indonesian online slot/gambling platform cloaked as e-commerce shop.","","false","",""
"replay-0055","mbtilounge.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.60557394","benign","high","live content review","reviewer.vmc","2026-08-20T16:46:00+07:00","evidence/mbtilounge.com.md","true_negative","Live online MBTI and Enneagram personality database and community portal.","","false","",""
"replay-0056","mod22.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.832535731","malicious","high","live content review","reviewer.vmc","2026-08-21T16:25:00+07:00","evidence/scrape_log.jsonl","false_negative","Traffic Distribution System (TDS) rotating redirects to illegal casino mcw88vi.club and affiliate spam gateways.","","false","",""
"replay-0057","npo-agroservis.ru","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.790907604","unknown","low","insufficient evidence","reviewer.vmc","2026-08-20T16:47:00+07:00","evidence/npo-agroservis.ru.md","unresolved","Server returns 403 Forbidden; access denied; insufficient live content.","","false","",""
"replay-0058","ossira.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.691358039","benign","high","official source","reviewer.vmc","2026-08-20T16:48:00+07:00","evidence/ossira.com.md","true_negative","Official e-commerce store of Argentine fashion brand Ossira.","trusted_brand","false","",""
"replay-0059","postmates.com","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.654623554","benign","high","official source","reviewer.vmc","2026-08-20T16:49:00+07:00","evidence/postmates.com.md","true_negative","Official food delivery platform of Postmates (Uber Technologies Inc).","trusted_brand","false","",""
"replay-0060","ratecart.in","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.706342603","unknown","low","insufficient evidence","reviewer.vmc","2026-08-20T16:50:00+07:00","evidence/ratecart.in.md","unresolved","LiteSpeed 404 Not Found default error page; no active hosted content; insufficient live evidence.","","false","",""
"replay-0061","stickles.in","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.685031009","benign","high","live content review","reviewer.vmc","2026-08-20T16:52:00+07:00","evidence/stickles.in.md","true_negative","Live landing page promoting WhatsApp sticker utility mobile app (Stickles).","","false","",""
"replay-0062","timberland.com.my","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.638614853","benign","high","official source","reviewer.vmc","2026-08-20T16:53:00+07:00","evidence/timberland.com.my.md","true_negative","Official Timberland Malaysia store portal (VF Brands Malaysia / VF Corporation).","trusted_brand","false","",""
"replay-0063","touchpoint-analytics.ru","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.708362692","benign","high","verified owner","reviewer.vmc","2026-08-20T16:54:00+07:00","evidence/touchpoint-analytics.ru.md","true_negative","Legitimate Russian enterprise AI speech analytics portal (3iTech).","","false","",""
"replay-0064","v-tal.net.br","weak_safe","data/whitelist/general/tranco_46ZYX.csv","weak-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.141978196","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T16:27:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
